Date,Event,Location,Discipline,Gender,Status
16-Jan-26,Lauberhorn Races,Wengen SUI,Downhill,Men,Scheduled
17-Jan-26,Lauberhorn Races,Wengen SUI,Slalom,Men,Scheduled
23-Jan-26,Hahnenkamm Races,Kitzbühel AUT,Super-G,Men,Scheduled
24-Jan-26,Hahnenkamm Races,Kitzbühel AUT,Downhill,Men,Scheduled
30-Jan-26,Cortina Ski World Cup,Cortina d'Ampezzo ITA,Downhill,Women,Scheduled
31-Jan-26,Cortina Ski World Cup,Cortina d'Ampezzo ITA,Super-G,Women,Scheduled
07-Feb-26,Kandahar Races,Garmisch-Partenkirchen GER,Giant Slalom,Men,Scheduled
08-Feb-26,Kandahar Races,Garmisch-Partenkirchen GER,Slalom,Men,Scheduled
14-Feb-26,Crans-Montana Classics,Crans-Montana SUI,Downhill,Women,Scheduled
28-Feb-26,Kvitfjell World Cup,Kvitfjell NOR,Downhill,Men,Scheduled
